,avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate
381,388.0,141,181.6,520.5,52410,58937,12.0,0.0,"(51046.4, 54545.6]",42.7,41.4,43.9,"Genesee County, New York",2.45,52.8,13.1,32.7,42.4,11.8,37.2,12.0,61.0,6.7,73.2,55.4,51.9,34.7,16.6,92.19785395,2.775068115,0.694607959,1.422853106,51.63756371,6.002939584
409,243.0,93,161.4,440.0,37884,34201,18.1,0.0,"(37413.8, 40362.7]",49.0,46.4,50.9,"Macon County, North Carolina",2.16,58.1,24.7,24.8,41.2,9.3,29.8,14.9,47.3,7.3,55.4,35.2,27.1,44.4,21.7,92.19316607,1.105575046,0.71936083,4.263097379,51.66065911,5.212083268
412,3590.0,1216,158.6,451.0,59049,1034070,15.2,307.5227016,"(54545.6, 61494.5]",34.5,33.4,35.6,"Mecklenburg County, North Carolina",2.57,45.3,14.7,25.0,44.8,15.5,19.1,28.4,65.3,8.9,67.9,58.5,50.5,24.6,15.4,56.67573474,30.94009016,5.166880746,4.078914417,43.17563049,5.350191695
418,145.0,61,189.9,452.7,32063,20426,25.8,48.9572114,"[22640, 34218.1]",47.1,44.2,49.7,"Northampton County, North Carolina",2.35,38.6,22.1,33.9,41.7,2.3,35.9,7.2,41.3,15.9,50.3,34.1,28.6,48.4,27.2,39.95526153,56.8130979,0.10946647,0.304602351,37.33487833,2.454590083
420,540.0,183,157.3,436.7,60304,141354,14.1,240.5308658,"(54545.6, 61494.5]",33.3,32.7,33.9,"Orange County, North Carolina",2.47,45.2,5.8,23.9,55.3,15.0,15.6,25.4,61.6,6.4,79.3,67.6,54.4,20.2,10.1,74.98196821,11.67522576,7.298548801,2.585037939,47.73130301,4.202796852
425,230.0,98,198.1,477.8,45841,39259,18.7,0.0,"(45201, 48021.6]",508.8,41.5,43.4,"Person County, North Carolina",2.52,47.6,22.2,28.0,44.7,5.1,35.5,11.3,53.0,11.9,60.0,45.4,37.9,39.3,22.3,68.76623707,27.37761703,0.430441648,1.533289185,45.40726776,6.140350877
427,144.0,58,156.1,423.9,45464,20366,14.7,0.0,"(45201, 48021.6]",50.9,48.9,53.4,"Polk County, North Carolina",2.3,56.1,15.0,30.2,45.7,9.2,27.2,18.6,48.0,8.8,68.0,45.1,35.6,41.3,17.1,91.42519801,5.086830324,0.122989128,1.972745609,53.52258361,4.746227709
432,822.0,315,189.8,508.1,44973,139142,18.0,64.6821233,"(42724.4, 45201]",40.3,38.8,41.5,"Rowan County, North Carolina",2.6,49.1,17.6,30.0,47.4,4.9,32.8,12.3,51.2,11.5,59.1,44.6,38.8,38.8,23.1,78.11738857,16.14110913,0.908493,2.792694473,49.51174146,4.889016456
435,203.0,80,189.6,487.8,32782,35509,28.9,112.6474978,"[22640, 34218.1]",39.1,36.8,40.9,"Scotland County, North Carolina",2.59,38.9,20.9,31.0,45.4,2.7,34.0,10.1,39.3,15.5,47.7,33.6,28.0,48.3,32.2,46.05365691,38.45318936,0.768117555,1.185572749,40.22006771,6.79431748
441,24.0,13,222.3,431.0,32773,4070,28.3,0.0,"[22640, 34218.1]",44.4,41.8,49.3,"Tyrrell County, North Carolina",2.45,42.5,28.1,40.7,31.2,0.0,37.1,3.9,38.0,14.1,50.1,31.8,19.8,46.5,23.0,59.89884393,30.39499037,2.817919075,4.359344894,47.13990351,7.088989442
443,257.0,106,198.5,490.4,33609,44568,27.0,112.188117,"[22640, 34218.1]",40.0,37.6,41.4,"Vance County, North Carolina",2.65,37.7,27.2,40.1,31.9,0.9,37.6,8.2,49.6,12.2,50.1,31.6,25.8,47.3,28.7,43.62800866,49.60405095,0.455062571,4.079948248,36.87986015,6.678752027
450,431.0,193,199.1,452.4,39268,81714,23.9,305.9451257,"(37413.8, 40362.7]",39.9,38.2,41.4,"Wilson County, North Carolina",2.5,44.8,23.3,33.8,36.1,6.7,33.0,12.6,54.0,10.1,56.4,42.1,36.1,39.4,23.2,50.86846202,38.38884054,0.927912136,6.921954867,42.64912664,4.940815895
451,219.0,89,179.7,449.1,40801,37585,17.2,0.0,"(40362.7, 42724.4]",42.9,41.5,44.1,"Yadkin County, North Carolina",2.45,53.1,13.9,44.3,38.2,3.5,34.3,8.4,51.4,8.3,60.3,43.0,37.5,39.4,21.8,91.39343183,3.381528008,0.055305365,3.149772195,49.89264103,6.549178376
455,32.0,12,169.9,462.9,39342,6753,29.9,0.0,"(37413.8, 40362.7]",31.0,31.2,30.9,"Benson County, North Dakota",2.97,41.4,21.9,36.4,35.6,6.2,32.5,10.8,52.3,6.1,47.6,38.1,30.4,42.4,30.8,42.71415955,0.0,0.073594348,0.647630262,42.4122807,9.492753623
465,20.0,10,227.6,532.1,47596,2365,10.7,0.0,"(45201, 48021.6]",48.3,48.5,48.0,"Eddy County, North Dakota",2.15,51.0,7.4,50.9,41.7,0.0,28.7,18.1,63.5,1.9,75.6,58.2,44.2,32.7,14.2,93.29113924,0.0,0.0,0.5907173,43.96226415,8.208955224
470,18.0,8,147.3,385.4,39679,2388,16.1,0.0,"(37413.8, 40362.7]",53.6,53.7,53.6,"Grant County, North Dakota",2.05,62.6,26.1,41.3,20.7,12.0,38.2,13.7,59.8,3.4,77.1,52.9,29.7,35.5,11.6,97.45977985,0.33869602,0.0,0.423370025,55.1056338,7.277628032
472,19.0,8,160.3,481.5,50038,2704,11.1,0.0,"(48021.6, 51046.4]",48.4,49.6,46.4,"Hettinger County, North Dakota",2.25,65.9,10.8,25.0,57.4,6.8,37.1,12.2,57.4,1.1,81.2,56.0,35.7,34.7,9.9,96.03204884,0.724914155,0.0,0.0,62.51145738,15.15711645
475,11.0,4,108.8,360.6,44696,1935,11.9,0.0,"(42724.4, 45201]",51.8,51.8,51.9,"Logan County, North Dakota",2.12,62.2,11.1,53.5,20.2,15.2,39.3,10.9,59.1,2.2,82.8,58.3,35.3,34.5,11.5,97.99485861,0.30848329,0.30848329,0.051413882,56.9476082,4.361370717
479,70.0,22,153.1,515.6,56616,9744,10.1,0.0,"(54545.6, 61494.5]",47.1,47.0,47.5,"McLean County, North Dakota",2.18,64.2,20.2,30.5,38.5,10.8,33.8,15.0,58.6,1.6,78.0,55.9,43.4,31.7,11.1,91.08030896,0.084647127,0.126970691,0.402073855,58.05384979,6.094022055
481,160.0,56,165.2,487.9,54637,30310,9.2,0.0,"(54545.6, 61494.5]",38.9,37.1,40.0,"Morton County, North Dakota",2.3,57.2,7.2,28.3,56.2,8.4,30.2,19.8,70.8,3.2,82.9,67.9,57.3,22.6,9.0,92.4685182,0.64516129,0.141452475,1.145420045,52.89242769,5.95510765
488,35.0,16,181.4,447.0,56270,5448,8.4,0.0,"(54545.6, 61494.5]",44.5,42.1,46.6,"Ransom County, North Dakota",2.25,56.3,20.1,45.7,25.6,8.6,36.4,14.6,64.5,2.0,83.6,63.9,54.9,29.4,8.8,97.21254355,0.586832936,0.293416468,0.0,51.70068027,9.291187739
497,130.0,53,172.5,471.0,53333,21103,11.6,0.0,"(51046.4, 54545.6]",40.6,38.4,43.4,"Stutsman County, North Dakota",2.15,50.8,14.4,31.0,46.6,7.9,35.5,19.3,64.6,2.5,77.7,60.3,51.2,27.7,11.5,94.46289619,0.521920668,0.488707535,0.830328336,45.31508664,5.223193741
503,116.0,51,201.7,468.1,36409,18433,20.4,0.0,"(34218.1, 37413.8]",41.4,40.5,41.7,"Arkansas County, Arkansas",2.39,49.8,20.3,39.8,33.6,6.4,42.5,8.3,54.3,8.3,52.0,37.9,30.1,47.3,29.8,72.38268112,25.68469382,0.448454434,0.224227217,46.13199018,7.128810226
520,296.0,134,195.3,439.8,43466,61703,16.6,0.0,"(42724.4, 45201]",38.8,37.9,39.8,"Crawford County, Arkansas",2.58,58.0,15.7,46.0,36.6,1.6,38.7,10.1,52.5,7.9,57.4,44.9,40.1,38.5,24.0,90.93897778,1.13202047,1.65349485,1.196799896,56.79732758,5.975420257
522,93.0,51,230.9,433.4,38597,17284,22.3,0.0,"(37413.8, 40362.7]",40.1,38.5,41.8,"Cross County, Arkansas",2.49,53.0,16.4,55.1,21.6,6.8,45.8,9.1,52.0,8.6,54.2,42.3,37.3,42.9,27.5,74.87261693,23.02627812,0.618308811,0.223278182,49.56634866,3.788634098
525,73.0,31,186.9,455.6,33028,11965,27.3,0.0,"[22640, 34218.1]",39.4,39.5,39.3,"Desha County, Arkansas",2.33,44.2,21.4,45.8,32.3,0.5,40.4,7.5,45.2,17.7,44.0,30.1,25.2,52.5,32.7,49.88286614,48.05719363,0.056547379,0.807819695,38.22078907,5.621925509
526,98.0,42,190.6,455.8,36801,18778,24.0,0.0,"(34218.1, 37413.8]",37.5,34.1,39.3,"Drew County, Arkansas",2.43,50.7,4.8,25.0,62.4,7.7,35.5,13.6,48.7,14.3,54.0,42.2,33.6,40.6,26.0,68.09498399,28.7886873,0.266808965,1.659551761,50.42384468,4.350706714
529,78.0,35,175.0,394.1,33347,12204,22.6,0.0,"[22640, 34218.1]",48.0,46.4,48.7,"Fulton County, Arkansas",2.27,62.2,19.8,42.9,36.2,1.0,43.0,7.3,44.9,7.6,55.7,37.1,29.5,48.6,25.6,96.96498691,0.122709424,1.505235602,0.0,58.26415094,8.096280088
530,665.0,292,196.4,464.4,40621,97177,18.7,421.9105344,"(40362.7, 42724.4]",44.1,42.4,45.6,"Garland County, Arkansas",2.35,50.9,17.1,34.8,43.6,4.5,32.2,13.2,50.2,9.2,56.3,37.6,30.2,44.6,23.6,85.25692596,8.349320296,0.63122718,3.033397281,47.04144949,3.943233157
541,116.0,52,176.9,395.3,34923,26141,19.7,0.0,"(34218.1, 37413.8]",38.1,36.9,39.0,"Johnson County, Arkansas",2.5,54.6,17.2,38.5,40.7,3.6,41.1,11.5,51.1,6.2,57.9,44.4,38.5,39.6,23.8,91.89355958,1.916698804,0.979560355,2.209795604,54.00059341,8.562113933
547,68.0,36,205.5,392.5,37691,12472,18.2,0.0,"(37413.8, 40362.7]",41.7,38.5,43.1,"Little River County, Arkansas",2.39,49.1,9.5,37.5,42.3,10.6,40.6,7.1,47.3,8.8,58.8,41.7,36.9,42.0,22.6,73.76572327,20.6918239,0.0,2.625786164,45.9150638,2.657444485
552,206.0,104,212.3,423.4,40877,43908,20.8,0.0,"(40362.7, 42724.4]",37.8,36.3,40.2,"Miller County, Arkansas",2.5,45.7,18.1,38.2,42.1,1.6,39.3,10.0,53.9,9.6,55.4,41.2,35.0,39.9,23.9,71.41253551,24.91752955,0.114542289,0.774305874,43.88561321,7.403380449
554,61.0,28,229.9,515.3,30682,7399,28.1,0.0,"[22640, 34218.1]",45.2,43.7,46.9,"Monroe County, Arkansas",2.27,42.7,26.4,37.1,34.4,2.1,41.2,7.7,44.9,12.8,42.4,26.7,22.4,56.0,33.5,55.91857902,40.68455854,0.5445352,1.166861144,37.93103448,9.781931464
564,116.0,57,187.2,396.4,33127,20216,22.0,0.0,"[22640, 34218.1]",43.1,42.4,44.8,"Polk County, Arkansas",2.56,51.3,19.2,39.5,40.6,0.8,39.0,7.8,46.3,9.0,47.1,29.0,22.5,52.7,30.9,92.74700452,0.206246317,0.427224514,2.175407582,49.52597649,6.71641791
566,55.0,25,196.7,449.5,39896,8291,18.7,0.0,"(37413.8, 40362.7]",45.4,44.9,46.7,"Prairie County, Arkansas",2.16,56.5,26.5,30.9,36.4,6.2,41.8,7.2,50.9,6.2,51.7,39.1,30.7,47.1,28.7,86.12235182,12.3184956,0.119019281,0.3808617,50.31364349,7.01754386
569,103.0,54,212.5,425.6,37761,17469,18.3,0.0,"(37413.8, 40362.7]",42.9,40.3,44.5,"Randolph County, Arkansas",2.36,56.4,13.3,42.8,43.0,0.9,39.3,8.7,47.7,5.4,51.3,36.5,30.9,47.1,27.8,96.54704719,0.695111613,0.02825657,0.531223509,51.20654397,7.27081138
570,113.0,59,202.9,375.9,30489,26589,33.4,0.0,"[22640, 34218.1]",37.5,36.6,39.6,"St. Francis County, Arkansas",2.51,37.4,20.7,31.3,45.3,2.7,39.7,7.1,42.4,11.7,45.2,34.1,27.7,48.4,32.4,43.44121412,51.87420004,0.288901079,2.062534284,37.06256628,6.906077348
571,590.0,218,169.0,461.3,55915,117460,8.7,187.2978035,"(54545.6, 61494.5]",38.7,38.2,39.3,"Saline County, Arkansas",2.66,55.6,16.4,31.2,45.5,6.9,33.9,15.4,59.6,5.3,70.0,53.4,47.1,33.8,17.1,90.41314909,5.832227913,0.954907628,0.523574008,55.44575522,5.129672006
575,68.0,31,179.5,388.4,37014,17290,20.4,0.0,"(34218.1, 37413.8]",34.9,33.8,35.7,"Sevier County, Arkansas",2.81,53.3,29.3,29.9,37.9,2.9,34.9,4.6,56.5,9.3,51.1,38.6,35.1,39.7,25.8,66.33657633,4.870280287,0.532777392,24.35719249,51.95061728,5.671792286
579,113.0,51,178.9,424.0,32975,16771,22.0,0.0,"[22640, 34218.1]",47.1,46.4,47.8,"Van Buren County, Arkansas",2.44,53.3,18.8,43.0,31.3,6.8,42.7,8.3,39.2,11.2,50.1,32.0,26.7,48.8,26.0,95.24761793,0.888130808,0.170568168,0.876367486,50.67597034,4.153846154
599,161.0,60,156.8,431.5,38221,29457,22.7,0.0,"(37413.8, 40362.7]",41.6,39.8,43.0,"Lake County, Montana",2.38,54.1,24.0,39.2,33.1,3.7,31.4,15.6,51.8,9.9,48.5,32.5,25.3,41.9,24.4,68.5770141,0.246938985,0.380697603,0.305244024,49.55752212,7.388908026
600,325.0,121,159.7,430.2,53572,66418,12.0,813.0326116,"(51046.4, 54545.6]",40.9,39.8,42.4,"Lewis and Clark County, Montana",2.38,51.7,13.6,31.7,49.4,5.3,23.7,24.3,63.1,4.9,74.1,58.3,50.6,30.3,13.2,93.63954894,0.526339948,0.627323776,0.2585798,49.23186185,5.247084953
608,39.0,14,196.6,587.0,39827,4582,19.1,0.0,"(37413.8, 40362.7]",48.5,49.0,48.1,"Musselshell County, Montana",2.43,58.0,15.4,60.1,24.5,0.0,40.2,10.7,51.6,4.6,61.7,45.6,37.5,39.4,19.6,95.80375783,0.187891441,1.08559499,0.0,56.74013327,7.611241218
615,53.0,19,182.6,509.5,37511,11476,23.8,0.0,"(37413.8, 40362.7]",30.4,28.0,31.0,"Roosevelt County, Montana",3.54,38.7,29.9,41.8,26.5,1.8,38.8,10.0,45.5,6.8,39.6,32.5,27.7,38.6,29.9,36.96712428,0.081286127,0.18966763,0.632225434,42.40940255,6.547122602
626,6.0,3,214.4,373.3,43859,1130,11.7,0.0,"(42724.4, 45201]",51.2,53.0,49.6,"Wibaux County, Montana",2.15,56.5,18.7,28.0,53.3,0.0,37.4,16.4,54.7,3.0,68.1,45.2,36.2,38.5,14.3,100.0,0.0,0.0,0.0,51.78571429,17.87709497
627,812.0,300,168.9,475.8,51653,157048,12.3,1757.424482,"(51046.4, 54545.6]",38.0,36.8,39.1,"Yellowstone County, Montana",2.44,50.2,16.4,37.6,39.2,6.8,31.2,20.1,64.8,4.1,69.7,55.3,49.0,29.1,14.4,90.6911225,0.696848242,0.736538011,1.033885954,47.79304059,5.116068139
652,2341.0,879,179.7,476.6,52842,550064,14.0,818.0866226,"(51046.4, 54545.6]",34.0,33.2,34.9,"Douglas County, Nebraska",2.52,47.6,12.7,27.5,45.6,14.2,21.9,24.2,67.2,5.7,72.0,60.8,52.9,26.0,14.8,78.9999163,11.2767481,3.147929434,3.143651598,44.9580658,5.925782154
653,13.0,6,151.9,406.9,45624,1799,13.8,0.0,"(45201, 48021.6]",46.2,42.8,48.3,"Dundy County, Nebraska",2.18,62.3,18.4,29.1,35.5,17.0,32.5,13.6,57.7,4.0,64.8,49.3,31.6,35.9,17.2,98.51116625,0.099255583,0.0,0.248138958,55.44444444,5.83090379
659,16.0,5,128.2,419.3,38645,1918,15.6,0.0,"(37413.8, 40362.7]",52.3,50.9,52.5,"Garden County, Nebraska",2.1,62.9,42.0,37.7,14.5,5.8,32.5,16.3,60.7,3.1,68.7,43.1,31.4,38.8,15.0,97.36697751,0.164563906,1.097092704,0.054854635,58.81656805,4.705882353
660,17.0,6,141.0,482.9,40436,2028,11.8,0.0,"(40362.7, 42724.4]",51.4,53.1,50.9,"Garfield County, Nebraska",2.1,57.0,4.1,21.1,46.3,28.5,39.5,11.8,62.7,3.5,70.2,46.9,26.3,41.8,16.8,97.98241076,0.620796689,0.0,0.310398345,49.16943522,3.095975232
663,300.0,108,160.8,469.4,48499,61680,14.7,551.232166,"(48021.6, 51046.4]",35.8,34.8,37.1,"Hall County, Nebraska",2.67,52.0,17.7,43.3,34.5,4.5,32.5,12.4,67.5,6.0,65.7,52.7,46.8,30.2,16.7,92.75233583,2.197657587,1.115278326,2.107185156,49.11068515,8.958855626
668,38.0,14,155.2,450.8,51040,6409,11.5,0.0,"(48021.6, 51046.4]",43.3,40.7,45.6,"Howard County, Nebraska",2.47,58.8,11.9,28.4,52.8,6.9,41.6,14.9,65.3,4.0,79.2,62.0,54.4,29.8,11.5,98.06207657,0.110288325,0.236332125,0.1890657,56.9140625,10.27070064
671,39.0,13,136.4,440.9,56791,6585,9.6,0.0,"(54545.6, 61494.5]",40.8,39.5,43.5,"Kearney County, Nebraska",2.34,61.2,14.4,39.8,32.3,13.5,32.5,16.8,67.7,3.8,78.9,60.1,46.3,27.8,10.6,98.12185066,0.152695068,0.320659643,0.488624217,55.22226238,12.76119403
692,11.0,4,187.3,502.1,46051,1381,15.0,0.0,"(45201, 48021.6]",52.0,49.8,53.4,"Rock County, Nebraska",1.94,59.4,6.0,23.3,69.8,0.9,41.7,14.1,64.1,1.7,70.1,50.7,25.6,31.4,11.4,95.64596717,0.713775874,0.214132762,0.713775874,52.60869565,3.361344538
695,111.0,47,176.2,428.6,61961,21016,8.2,333.0795584,"(61494.5, 125635]",41.4,40.6,42.4,"Saunders County, Nebraska",2.56,60.4,10.8,29.0,42.2,18.0,33.0,16.1,65.4,3.5,80.2,62.5,50.7,28.5,11.5,97.25051403,0.655094917,0.272557739,0.535552049,59.45375543,6.021555764
702,227.0,85,174.7,471.4,56573,39165,14.7,0.0,"(54545.6, 61494.5]",43.7,42.7,44.8,"Fayette County, Tennessee",2.58,56.4,14.8,36.9,42.6,5.7,35.8,15.9,54.1,8.5,71.8,55.6,45.8,32.9,15.6,69.61920956,27.64981708,0.66986139,1.076931004,58.14360771,5.28264626
705,285.0,138,214.7,460.4,37498,49399,19.5,0.0,"(37413.8, 40362.7]",40.4,39.1,41.3,"Gibson County, Tennessee",2.49,50.2,10.9,43.8,42.1,3.2,38.4,10.3,52.0,9.5,62.5,47.1,39.8,38.6,22.3,78.91551682,18.53465666,0.326797386,0.538610506,48.65545786,4.845775592
708,428.0,183,194.7,469.7,36740,68580,17.7,0.0,"(34218.1, 37413.8]",43.7,42.2,44.9,"Greene County, Tennessee",2.38,53.0,9.2,50.2,33.7,6.8,42.6,9.8,49.8,8.7,59.4,42.3,37.3,42.5,22.0,95.30010499,2.206311246,0.507466169,0.587669155,51.19917323,3.90120498
711,1885.0,713,172.9,470.9,48380,354098,15.9,553.5190823,"(48021.6, 51046.4]",39.3,37.8,40.9,"Hamilton County, Tennessee",0.0248,48.0,13.1,27.0,51.6,8.4,27.3,18.2,57.7,8.0,68.3,53.9,46.5,32.9,17.5,75.1445618,19.8327593,1.981782196,0.991034726,47.00812066,5.342350159
714,162.0,70,185.9,456.8,36285,25756,21.7,0.0,"(34218.1, 37413.8]",44.8,43.7,45.9,"Hardin County, Tennessee",2.58,51.2,23.9,37.2,37.7,1.2,43.6,7.6,44.5,13.9,53.6,38.6,30.1,45.0,25.8,94.11969112,3.150579151,0.324324324,0.077220077,52.91257218,4.906586148
718,223.0,105,219.1,479.3,37151,32147,20.5,0.0,"(34218.1, 37413.8]",44.9,43.7,46.0,"Henry County, Tennessee",2.36,55.2,14.8,54.4,24.4,6.4,45.1,8.5,48.3,9.7,59.8,40.9,32.6,44.2,24.0,89.49456134,8.624376336,0.210728563,0.083671635,51.26568184,4.382650748
721,127.0,55,222.6,527.3,42837,18135,17.6,716.8458781,"(42724.4, 45201]",42.2,41.3,42.8,"Humphreys County, Tennessee",2.53,54.8,14.1,41.3,43.4,1.2,42.8,8.9,48.1,8.9,66.9,49.0,42.9,37.8,17.8,95.09868421,3.229166667,0.191885965,0.082236842,54.126895,5.078225186
729,82.0,34,217.1,538.7,36255,11854,20.3,0.0,"(34218.1, 37413.8]",43.5,41.0,46.2,"Lewis County, Tennessee",2.49,57.3,10.0,63.6,26.4,0.0,43.2,8.4,50.8,7.7,57.8,43.2,34.3,40.9,23.6,94.26490288,1.59912927,1.942397857,1.013060951,54.15959253,4.558176729
730,183.0,85,193.0,421.9,41802,33743,16.5,0.0,"(40362.7, 42724.4]",42.9,41.0,44.5,"Lincoln County, Tennessee",2.43,51.9,21.9,39.0,36.0,3.1,41.9,11.3,53.0,7.6,63.6,46.3,38.9,40.0,20.8,89.26378539,5.20119225,0.0804769,0.935916542,49.4429786,6.664803689
740,276.0,119,207.0,482.9,37392,45771,20.6,21.84789496,"(34218.1, 37413.8]",43.0,41.6,44.2,"Monroe County, Tennessee",2.6,60.4,17.9,53.3,23.7,5.1,42.0,8.0,44.1,12.5,58.9,41.7,36.3,42.4,23.7,95.05000773,2.170313293,0.282604376,0.097145254,59.51840865,6.564217382
744,189.0,91,215.6,455.6,40683,30639,20.8,0.0,"(40362.7, 42724.4]",42.1,41.2,42.9,"Obion County, Tennessee",2.42,52.1,15.7,48.7,33.1,2.5,41.3,10.3,50.3,11.2,61.0,43.7,37.7,40.5,21.6,86.26361271,10.54964824,0.273057278,1.053679848,50.49348599,4.063986165
752,343.0,128,187.2,496.6,52640,68570,13.4,14.58363716,"(51046.4, 54545.6]",38.6,37.4,39.3,"Robertson County, Tennessee",2.7,57.0,13.6,45.4,31.8,9.3,38.4,11.8,60.2,8.4,69.5,56.5,48.7,29.8,17.0,87.66054638,7.531219411,0.459763296,2.294367158,57.6884055,5.976467659
755,81.0,40,227.4,465.4,44111,14811,18.7,0.0,"(42724.4, 45201]",41.9,41.6,42.7,"Sequatchie County, Tennessee",2.56,56.2,12.9,41.1,42.3,3.7,40.2,7.6,48.8,9.0,61.9,47.6,40.3,40.4,22.1,89.67242325,0.212445175,0.0,0.390625,54.94211932,3.240589198
759,88.0,39,230.1,514.7,41590,13259,17.5,301.6818765,"(40362.7, 42724.4]",43.2,42.9,44.0,"Stewart County, Tennessee",2.57,57.4,10.5,47.3,39.2,3.0,42.0,8.1,45.0,10.1,66.0,43.9,34.0,40.2,18.9,93.50444076,1.55803101,1.166641578,0.647297908,57.02592087,2.998236332
775,57.0,25,182.2,401.3,66878,18105,10.7,0.0,"(61494.5, 125635]",31.3,30.3,33.9,"Andrews County, Texas",3.05,58.1,21.2,46.7,28.8,3.4,33.6,8.8,64.8,3.9,63.3,53.5,48.6,23.4,14.6,92.33979136,1.961251863,0.375558867,2.289120715,62.7100073,10.78180889
780,186.0,81,169.1,387.6,52785,48435,16.9,454.2169918,"(51046.4, 54545.6]",35.5,34.5,36.6,"Atascosa County, Texas",3.04,52.1,19.4,36.3,39.3,5.0,36.0,9.3,56.9,6.5,57.7,46.3,39.0,32.6,20.5,91.7194474,0.784272051,0.312433581,4.055260361,53.23829981,5.556068297
782,26.0,9,110.4,334.4,36821,7210,19.9,0.0,"(34218.1, 37413.8]",34.9,35.6,34.6,"Bailey County, Texas",2.92,57.9,48.9,43.9,7.1,0.0,32.4,4.6,62.6,4.3,45.2,34.7,31.7,34.5,21.6,84.90036486,2.062868369,0.406960427,12.13864721,58.23578595,2.595628415
787,1184.0,430,177.3,475.2,51048,334941,14.2,8.956801347,"(51046.4, 54545.6]",30.2,29.0,31.2,"Bell County, Texas",2.89,52.8,10.7,38.6,44.7,6.0,28.2,15.2,52.5,9.5,70.2,46.0,30.1,29.3,13.7,64.71609399,21.53256799,2.856695937,4.427970715,52.53632424,5.835105126
789,53.0,24,154.0,372.8,57177,11004,12.0,0.0,"(54545.6, 61494.5]",48.6,47.8,49.2,"Blanco County, Texas",2.55,61.9,13.1,22.6,48.8,15.5,30.7,19.7,52.4,6.4,64.8,46.2,37.0,32.7,12.7,92.84715098,0.606173645,0.484938916,2.471323324,60.61479347,3.865213082
793,545.0,193,151.8,424.7,41641,215037,26.4,51.15398745,"(40362.7, 42724.4]",25.2,24.6,25.8,"Brazos County, Texas",2.58,37.4,5.3,12.5,70.3,12.0,20.4,20.8,58.7,6.4,72.6,62.3,50.7,19.8,11.2,73.92520132,10.75212768,5.738755109,6.531853014,39.40534539,4.690848607
795,35.0,16,173.3,408.0,27875,7230,32.4,0.0,"[22640, 34218.1]",31.7,26.5,38.7,"Brooks County, Texas",3.31,32.8,25.2,31.3,43.5,0.0,37.6,7.7,41.8,19.8,33.5,24.1,21.6,45.8,29.9,84.90513779,0.083090985,1.869547154,11.95125329,41.77884615,6.831489915
796,210.0,97,188.4,427.7,41316,37896,17.5,0.0,"(40362.7, 42724.4]",41.0,39.5,42.0,"Brown County, Texas",2.71,52.5,17.3,31.1,44.3,7.2,37.9,13.1,50.0,4.3,60.3,45.1,40.6,36.9,19.3,91.55763487,4.305764809,0.470488727,1.572701081,53.83226777,2.5472273
803,63.0,28,224.9,504.4,34116,10147,23.3,0.0,"[22640, 34218.1]",38.5,35.6,42.5,"Catahoula Parish, Louisiana",2.48,48.2,35.1,42.5,22.4,0.0,42.2,9.9,45.7,8.3,50.5,36.4,33.2,37.6,20.1,66.30233239,32.45828047,0.039035815,0.087830585,50.90715048,2.469135802
804,102.0,38,177.8,473.5,35385,16295,28.2,0.0,"(34218.1, 37413.8]",42.2,39.8,45.8,"Claiborne Parish, Louisiana",2.51,37.0,38.2,41.4,20.0,0.4,40.7,8.6,39.8,13.5,49.4,34.2,30.0,47.1,27.2,46.52923854,50.16527436,0.030049883,0.270448945,39.73000684,8.809020437
809,135.0,48,212.2,570.8,41651,19696,20.4,0.0,"(40362.7, 42724.4]",41.8,40.9,43.5,"East Feliciana Parish, Louisiana",2.43,42.5,32.8,28.8,35.5,2.9,43.5,8.9,43.6,6.5,60.3,45.8,40.7,39.0,23.5,53.7446487,44.91060186,0.090657265,0.161168471,46.95113161,4.203655352
810,169.0,77,211.4,459.2,32615,33743,24.1,0.0,"[22640, 34218.1]",35.8,34.6,37.5,"Evangeline Parish, Louisiana",2.65,43.7,33.7,36.0,28.0,2.3,34.6,9.3,42.4,10.4,49.0,35.5,30.9,47.8,31.2,68.48199479,27.86069652,0.068111822,1.652452026,45.14806759,8.601712189
817,179.0,78,208.0,499.6,37968,31439,21.7,0.0,"(37413.8, 40362.7]",38.4,35.7,40.0,"Jefferson Davis Parish, Louisiana",2.65,46.6,28.0,36.5,31.5,4.0,41.1,9.7,52.3,9.2,57.5,42.3,36.0,42.2,25.3,79.74804352,17.14703824,0.334033212,0.34039575,45.89769997,7.155147691
819,478.0,203,198.7,467.5,47382,98325,17.6,20.34070684,"(45201, 48021.6]",36.6,35.6,37.6,"Lafourche Parish, Louisiana",2.68,49.4,17.8,37.7,38.5,6.0,39.1,10.2,56.8,7.0,63.4,50.4,44.6,33.4,19.4,79.5422369,13.35227856,0.81355028,1.597349037,51.08732299,4.817078346
